Dates;Open;Close;High;Low
18/04/2019 16:24:00;3,9267;3,9269;3,9271;3,9264
18/04/2019 16:25:00;3,9269;3,9261;3,9269;3,9261
18/04/2019 16:26:00;3,9261;3,9241;3,9261;3,9241
18/04/2019 16:27:00;3,9241;3,9235;3,9241;3,9224
18/04/2019 16:28:00;3,9234;3,924;3,9241;3,9232
18/04/2019 16:29:00;3,924;3,9234;3,9252;3,9229
18/04/2019 16:30:00;3,9234;3,9229;3,9248;3,9229
18/04/2019 16:31:00;3,9229;3,9236;3,9238;3,9226
18/04/2019 16:32:00;3,9236;3,9236;3,9237;3,9234
18/04/2019 16:33:00;3,9236;3,9249;3,9251;3,9235
18/04/2019 16:34:00;3,9249;3,9268;3,9269;3,9248
18/04/2019 16:35:00;3,9268;3,928;3,9281;3,9268
18/04/2019 16:36:00;3,928;3,929;3,9293;3,9278
18/04/2019 16:37:00;3,929;3,9306;3,9306;3,9288
18/04/2019 16:38:00;3,9306;3,9298;3,9306;3,9296
18/04/2019 16:39:00;3,9298;3,9298;3,93;3,9297
18/04/2019 16:40:00;3,9298;3,9293;3,9299;3,9292
18/04/2019 16:41:00;3,9293;3,9292;3,9296;3,9289
18/04/2019 16:42:00;3,9292;3,9294;3,9296;3,9291
18/04/2019 16:43:00;3,9294;3,9283;3,9294;3,9283
18/04/2019 16:44:00;3,9283;3,9283;3,9283;3,928
